"Story","Title","Result","Date","Stability","Duration (s)"
"Server","A test registration empty","SUCCESS","2015-09-28T11:30:18.976Z","0.0","9.57"
"Server","A test registration key test","SUCCESS","2015-09-28T11:30:28.900Z","0.0","22.45"
"Server","Test a settings","SUCCESS","2015-09-28T11:30:51.408Z","0.0","21.91"
"Server","Test a settings SMTP for invalid","SUCCESS","2015-09-28T11:32:34.559Z","0.0","18.01"
"Server","Test a settings SMTP for valid","SUCCESS","2015-09-28T11:32:52.587Z","0.0","48.49"
"Server","Test a settings net","SUCCESS","2015-09-28T11:31:13.363Z","0.0","45.17"
"Server","Test a settings net for check","SUCCESS","2015-09-28T11:31:58.586Z","0.0","35.96"
"Server","Test a settings server proxy","SUCCESS","2015-09-28T11:33:41.116Z","0.0","18.87"
"Server","Test a settings sip invalid autorization","SUCCESS","2015-09-28T11:34:00.010Z","0.0","16.75"
"Server","Test a settings sip invalid server","SUCCESS","2015-09-28T11:34:16.787Z","0.0","16.78"
"Server","Test a settings sip valid date","SUCCESS","2015-09-28T11:34:33.583Z","0.0","16.89"
"Server","Test a settings web","SUCCESS","2015-09-28T11:34:50.492Z","0.0","12.44"
"Server","Test a settings web guest page invalid","SUCCESS","2015-09-28T11:35:02.945Z","0.0","15.23"
"Server","Test a settings web guest page valid","SUCCESS","2015-09-28T11:35:18.184Z","0.0","23.74"
"Server","Test a settings web security","SUCCESS","2015-09-28T11:35:41.944Z","0.0","10.14"
"Server","Test create for users","SUCCESS","2015-09-28T11:35:52.099Z","0.0","40.36"
"Server","Test group for users","SUCCESS","2015-09-28T11:40:29.615Z","0.0","24.69"
"Server","Test localisation","SUCCESS","2015-09-28T11:41:08.602Z","0.0","29.56"
